==================================================
      VNSTOCK 3.x MULTI-STOCK DEMO               
      Danh sách: NAS100
      Khung: 1D, Số lượng: 100
==================================================

==================================================
      PHÂN TÍCH MÃ: NAS100 (Nasdaq 100 Futures) 
      Khung thời gian: 1D
==================================================

--- [ LỊCH SỬ GIÁ NAS100  ] ---
          time      open      high       low     close  change  pct_change  volume
0   2025-11-20 24,966.75 25,310.00 24,073.25 24,131.50 -590.25       -2.39  995836
1   2025-11-21 24,110.00 24,596.25 23,904.50 24,305.50  174.00        0.72  918728
2   2025-11-24 24,455.75 24,993.50 24,361.75 24,948.25  642.75        2.64  604148
3   2025-11-25 24,966.25 25,135.25 24,602.00 25,085.50  137.25        0.55  629575
4   2025-11-26 25,071.25 25,376.00 25,061.25 25,302.25  216.75        0.86  522196
5   2025-11-28 25,313.00 25,499.75 25,285.75 25,482.00  179.75        0.71  199445
6   2025-12-01 25,482.50 25,546.00 25,193.25 25,391.25  -90.75       -0.36  574734
7   2025-12-02 25,411.50 25,670.00 25,324.75 25,606.00  214.75        0.85  561951
8   2025-12-03 25,611.00 25,685.25 25,421.50 25,657.50   51.50        0.20  494194
9   2025-12-04 25,650.25 25,732.50 25,488.75 25,622.75  -34.75       -0.14  509526
10  2025-12-05 25,629.75 25,868.00 25,579.75 25,732.00  109.25        0.43  498264
11  2025-12-08 25,750.00 25,860.75 25,564.75 25,664.00  -68.00       -0.26  473150
12  2025-12-09 25,713.00 25,735.75 25,560.00 25,699.75   35.75        0.14  407387
13  2025-12-10 25,680.00 25,870.75 25,528.75 25,798.00   98.25        0.38  556710
14  2025-12-11 25,769.50 25,861.50 25,383.00 25,713.50  -84.50       -0.33  637723
15  2025-12-12 25,701.00 25,733.25 25,118.00 25,213.50 -500.00       -1.94  760749
16  2025-12-15 25,223.50 25,410.00 25,033.25 25,093.25 -120.25       -0.48  448073
17  2025-12-16 25,101.25 25,202.50 24,828.00 25,139.00   45.75        0.18  247876
18  2025-12-17 25,091.75 25,266.00 24,654.50 24,668.75 -470.25       -1.87  139991
19  2025-12-18 24,744.00 25,178.00 24,675.50 25,028.25  359.50        1.46  111598
20  2025-12-19 25,002.50 25,160.00 24,977.50 25,132.79  104.54        0.42  502611
21  2025-12-22 25,635.25 25,794.75 25,628.00 25,692.25  559.46        2.23  367322
22  2025-12-23 25,701.00 25,822.50 25,608.25 25,812.25  120.00        0.47  336346
23  2025-12-24 25,815.75 25,892.00 25,777.50 25,880.50   68.25        0.26  163037
24  2025-12-26 25,868.00 25,935.25 25,834.25 25,863.25  -17.25       -0.07  240485
25  2025-12-29 25,863.25 25,893.75 25,648.00 25,739.75 -123.50       -0.48  347055
26  2025-12-30 25,740.00 25,793.75 25,668.25 25,675.25  -64.50       -0.25  300558
27  2025-12-31 25,683.25 25,716.75 25,429.00 25,456.75 -218.50       -0.85  329352
28  2026-01-02 25,478.50 25,803.75 25,265.25 25,385.25  -71.50       -0.28  554838
29  2026-01-05 25,431.75 25,708.00 25,406.50 25,577.75  192.50        0.76  461305
30  2026-01-06 25,583.00 25,837.75 25,527.50 25,822.00  244.25        0.95  445573
31  2026-01-07 25,831.25 25,996.25 25,727.00 25,838.75   16.75        0.06  477861
32  2026-01-08 25,838.75 25,849.75 25,569.00 25,687.50 -151.25       -0.59  510805
33  2026-01-09 25,725.00 25,985.50 25,615.50 25,938.25  250.75        0.98  509669
34  2026-01-12 25,949.00 26,020.50 25,632.75 25,956.75   18.50        0.07  452996
35  2026-01-13 25,953.50 26,045.50 25,803.25 25,906.00  -50.75       -0.20  560438
36  2026-01-14 25,900.75 25,925.75 25,420.75 25,631.00 -275.00       -1.06  647871
37  2026-01-15 25,593.00 25,952.75 25,562.50 25,705.75   74.75        0.29  591058
38  2026-01-16 25,720.50 25,891.00 25,591.50 25,689.00  -16.75       -0.07  490573
39  2026-01-20 25,471.00 25,472.00 25,095.25 25,129.25 -559.75       -2.18  864568
40  2026-01-21 25,149.50 25,653.50 25,025.00 25,471.00  341.75        1.36  810753
41  2026-01-22 25,529.50 25,739.75 25,483.75 25,658.25  187.25        0.74  533607
42  2026-01-23 25,605.00 25,845.75 25,540.25 25,738.25   80.00        0.31  504901
43  2026-01-26 25,585.50 25,936.50 25,365.25 25,848.50  110.25        0.43  450290
44  2026-01-27 25,861.25 26,118.00 25,838.50 26,073.00  224.50        0.87  429460
45  2026-01-28 26,111.25 26,349.00 25,993.25 26,156.25   83.25        0.32  511937
46  2026-01-29 26,282.50 26,296.00 25,536.00 25,999.25 -157.00       -0.60  699097
47  2026-01-30 25,998.50 26,020.00 25,568.75 25,670.00 -329.25       -1.27  712197
48  2026-02-02 25,530.00 25,949.50 25,180.25 25,850.00  180.00        0.70  578865
49  2026-02-03 25,876.50 26,027.75 25,219.00 25,452.00 -398.00       -1.54  696150
50  2026-02-04 25,387.50 25,514.25 24,783.50 24,999.25 -452.75       -1.78  742646
51  2026-02-05 25,061.75 25,169.00 24,407.25 24,651.00 -348.25       -1.39  774469
52  2026-02-06 24,416.00 25,222.00 24,239.75 25,163.25  512.25        2.08  653956
53  2026-02-09 25,153.75 25,428.75 24,955.50 25,354.00  190.75        0.76  492306
54  2026-02-10 25,363.00 25,447.25 25,198.25 25,218.25 -135.75       -0.54  477554
55  2026-02-11 25,259.00 25,465.25 25,058.25 25,288.50   70.25        0.28  531730
56  2026-02-12 25,289.00 25,419.75 24,721.50 24,768.00 -520.50       -2.06  668338
57  2026-02-13 24,842.25 24,995.50 24,578.75 24,803.25   35.25        0.14  688226
58  2026-02-17 24,789.75 24,922.25 24,449.25 24,767.75  -35.50       -0.14  752646
59  2026-02-18 24,773.75 25,128.25 24,700.75 24,956.00  188.25        0.76  540796
60  2026-02-19 24,943.50 25,054.00 24,749.00 24,858.75  -97.25       -0.39  515038
61  2026-02-20 24,837.75 25,139.50 24,678.50 25,067.50  208.75        0.84  615358
62  2026-02-23 25,033.75 25,059.75 24,668.00 24,762.75 -304.75       -1.22  594568
63  2026-02-24 24,788.00 25,078.75 24,694.50 25,028.75  266.00        1.07  520239
64  2026-02-25 25,016.25 25,494.75 24,992.00 25,382.00  353.25        1.41  417621
65  2026-02-26 25,388.25 25,418.25 24,861.75 25,081.00 -301.00       -1.19  605581
66  2026-02-27 25,024.25 25,098.75 24,782.00 25,004.75  -76.25       -0.30  561211
67  2026-03-02 24,682.50 25,101.00 24,477.00 25,025.25   20.50        0.08  627650
68  2026-03-03 25,002.75 25,011.00 24,352.00 24,755.75 -269.50       -1.08  719421
69  2026-03-04 24,710.75 25,217.75 24,499.00 25,128.25  372.50        1.50  603596
70  2026-03-05 25,156.50 25,250.00 24,772.50 25,049.50  -78.75       -0.31  683962
71  2026-03-06 25,019.75 25,141.50 24,601.00 24,670.25 -379.25       -1.51  645082
72  2026-03-09 24,435.25 25,058.00 24,000.00 24,991.00  320.75        1.30  708630
73  2026-03-10 24,981.50 25,217.50 24,830.00 24,982.50   -8.50       -0.03  564644
74  2026-03-11 25,010.25 25,180.00 24,873.50 24,983.50    1.00        0.00  476593
75  2026-03-12 24,934.50 24,949.25 24,517.75 24,560.00 -423.50       -1.70  565145
76  2026-03-13 24,567.00 24,805.25 24,333.75 24,394.25 -165.75       -0.67  609146
77  2026-03-16 24,285.00 24,816.25 24,278.00 24,675.75  281.50        1.15  413547
78  2026-03-17 24,668.75 24,896.00 24,517.00 24,795.50  119.75        0.49  204810
79  2026-03-18 24,796.00 24,989.00 24,350.00 24,434.50 -361.00       -1.46  126918
80  2026-03-19 24,399.75 24,505.25 24,115.00 24,364.00  -70.50       -0.29   69553
81  2026-03-20 24,417.25 24,444.00 24,108.75 24,291.78  -72.22       -0.30  611673
82  2026-03-23 23,902.00 24,763.00 23,772.50 24,408.25  116.47        0.48  683625
83  2026-03-24 24,417.25 24,550.00 24,134.00 24,213.75 -194.50       -0.80  544209
84  2026-03-25 24,420.00 24,539.75 24,286.50 24,367.75  154.00        0.64  525449
85  2026-03-26 24,373.50 24,421.25 23,763.25 23,794.25 -573.50       -2.35  557306
86  2026-03-27 23,824.00 23,976.00 23,232.50 23,328.50 -465.75       -1.96  559271
87  2026-03-30 23,189.50 23,574.00 23,024.50 23,139.75 -188.75       -0.81  559453
88  2026-03-31 23,119.50 23,975.25 22,961.50 23,915.00  775.25        3.35  755160
89  2026-04-01 23,889.00 24,348.25 23,880.00 24,194.75  279.75        1.17  579693
90  2026-04-02 24,180.00 24,266.75 23,666.00 24,218.00   23.25        0.10  576893
91  2026-04-06 24,093.50 24,452.25 23,981.50 24,358.50  140.50        0.58  444473
92  2026-04-07 24,348.75 24,451.50 23,941.50 24,371.00   12.50        0.05  575961
93  2026-04-08 24,514.00 25,257.00 24,355.00 25,074.25  703.25        2.89  644388
94  2026-04-09 25,037.75 25,269.75 24,953.00 25,251.50  177.25        0.71  514186
95  2026-04-10 25,237.00 25,393.00 25,193.00 25,281.25   29.75        0.12  430719
96  2026-04-13 24,980.00 25,599.25 24,904.50 25,543.50  262.25        1.04  507117
97  2026-04-14 25,575.25 26,003.25 25,560.00 25,996.75  453.25        1.77  477724
98  2026-04-15 25,985.75 26,377.50 25,933.75 26,365.50  368.75        1.42  521771
99  2026-04-16 26,460.00 26,497.75 26,445.25 26,458.75   93.25        0.35   21804

==================================================
      HOÀN THÀNH PHÂN TÍCH TẤT CẢ CÁC MÃ          
==================================================
